,LOCATION,TIME,Value
908,NLD,1983,96701.5630188409
909,NLD,1984,100960.954069862
910,NLD,1985,105934.893326747
911,NLD,1986,110802.663031833
912,NLD,1987,116590.240621928
913,NLD,1988,123025.866779799
914,NLD,1989,132449.846265011
915,NLD,1990,143850.138833113
916,NLD,1991,152685.152100145
917,NLD,1992,157876.897384956
918,NLD,1993,163121.655671619
919,NLD,1994,169774.488106084
920,NLD,1995,177968.015635319
921,NLD,1996,190606.403344399
922,NLD,1997,202180.644620638
923,NLD,1998,217446.624791205
924,NLD,1999,233735.093621381
925,NLD,2000,255691.321617534
926,NLD,2001,264959.408656205
927,NLD,2002,278092.462712946
928,NLD,2003,274762.498306247
929,NLD,2004,287280.598546892
930,NLD,2005,297382.089871624
931,NLD,2006,310098.372745669
932,NLD,2007,327502.767521591
933,NLD,2008,340300.09035064
934,NLD,2009,327091.181009486
935,NLD,2010,329747.924772175
936,NLD,2011,337779.689555203
937,NLD,2012,336653.582457657
938,NLD,2013,344237.375688817
939,NLD,2014,345072.314406015
940,NLD,2015,349850.597959906
941,NLD,2016,362029.159365614
942,NLD,2017,380104.619812463
943,NLD,2018,404756.273958362
944,NLD,2019,418556.736290983
945,NLD,2020,398834.068771595
946,NLD,2021,423057.773201073
947,NZL,1970,6924.52808685455
948,NZL,1971,7249.18092237188
949,NZL,1972,8010.00551902073
950,NZL,1973,9150.84191175078
951,NZL,1974,10516.653314623
952,NZL,1975,11307.3669812021
953,NZL,1976,11553.7899517847
954,NZL,1977,11898.5022225958
955,NZL,1978,12959.1759973086
956,NZL,1979,14049.7877862337
957,NZL,1980,15532.4936130776
958,NZL,1981,17303.2986957169
959,NZL,1982,17999.7915217093
960,NZL,1983,19313.5323358432
961,NZL,1984,20799.4010513181
962,NZL,1985,21791.5438289247
963,NZL,1986,23178.3789822234
964,NZL,1987,24526.5972677176
965,NZL,1988,26548.0863794768
966,NZL,1989,28069.8894478324
967,NZL,1990,29279.9855721966
968,NZL,1991,29448.4136547862
969,NZL,1992,30292.827239401
970,NZL,1993,32149.8796476851
971,NZL,1994,35028.0756806641
972,NZL,1995,37297.5866621448
973,NZL,1996,39901.2461454766
974,NZL,1997,41720.1993025635
975,NZL,1998,43241.1946373586
976,NZL,1999,45192.151556157
977,NZL,2000,45997.1181750477
978,NZL,2001,48198.1019889408
979,NZL,2002,49868.1745326116
980,NZL,2003,52347.7592578541
981,NZL,2004,56696.8018840498
982,NZL,2005,59198.2496234328
983,NZL,2006,63158.0790624213
984,NZL,2007,67292.8049609001
985,NZL,2008,69636.9465435132
986,NZL,2009,70470.152018394
987,NZL,2010,73706.8051618129
988,NZL,2011,78161.323294939
989,NZL,2012,80628.9483405229
990,NZL,2013,83211.4301627064
991,NZL,2014,87060.5088295912
992,NZL,2015,89790.3385356631
993,NZL,2016,99173.4385207184
994,NZL,2017,105684.137103386
995,NZL,2018,108779.285023083
996,NZL,2019,118160.343127123
997,NZL,2020,120423.281903615
998,NZL,2021,127770.172344551
999,NOR,1970,7346.11020103128
1000,NOR,1971,8081.02166847207
1001,NOR,1972,8584.30019085635
1002,NOR,1973,9369.20959152998
1003,NOR,1974,10652.429641969
1004,NOR,1975,12151.0163278735
1005,NOR,1976,13580.8006508016
1006,NOR,1977,15371.5563897686
1007,NOR,1978,16179.6432892875
1008,NOR,1979,18357.0489507235
1009,NOR,1980,20754.7972572889
1010,NOR,1981,22682.4708953554
1011,NOR,1982,24210.8885281986
1012,NOR,1983,25740.5915650844
1013,NOR,1984,27565.3363404658
1014,NOR,1985,31158.6525702058
1015,NOR,1986,33444.0791839951
1016,NOR,1987,34262.3932407233
1017,NOR,1988,34849.6068674021
1018,NOR,1989,36149.1589962375
